Publication_Date,Report_Date,Open_Interest,NonComm_Long,NonComm_Short,Net_Position,Net_Pos_Pct_OI,LevFunds_Long,LevFunds_Short,LevFunds_Net,LevFunds_Net_Pct_OI,Z_Net_OI,Z_dNet_OI,X7_COT_pctl,COT_Signal
2011-07-29,2011-07-26,183690,68502,64500,4001,2.18,41839,46960,-5121,-2.79,,,,MODERATE SPECULATIVE NET LONG
2011-08-05,2011-08-02,190722,70114,77788,-7673,-4.02,44262,56722,-12460,-6.53,,,,MODERATE SPECULATIVE NET SHORT
2011-08-12,2011-08-09,183571,68494,76187,-7692,-4.19,48629,45771,2858,1.56,,,,MODERATE SPECULATIVE NET SHORT
2011-08-19,2011-08-16,168931,60400,61387,-986,-0.58,41298,37636,3662,2.17,,,,MODERATE SPECULATIVE NET SHORT
2011-08-26,2011-08-23,174714,62321,63090,-769,-0.44,42878,38997,3881,2.22,,,,MODERATE SPECULATIVE NET SHORT
2011-09-02,2011-08-30,179162,57931,61619,-3687,-2.06,43107,39766,3341,1.86,,,,MODERATE SPECULATIVE NET SHORT
2011-09-09,2011-09-06,209515,67608,85799,-18190,-8.68,53812,61495,-7683,-3.67,,,,MODERATE SPECULATIVE NET SHORT
2011-09-16,2011-09-13,264500,77354,99972,-22617,-8.55,63377,73866,-10489,-3.97,,,,MODERATE SPECULATIVE NET SHORT
2011-09-23,2011-09-20,201556,49877,114372,-64494,-32.0,36687,87622,-50935,-25.27,,,,MODERATE SPECULATIVE NET SHORT
2011-09-30,2011-09-27,215172,56332,119655,-63323,-29.43,44206,90665,-46459,-21.59,,,,MODERATE SPECULATIVE NET SHORT
2011-10-07,2011-10-04,220839,64952,120490,-55538,-25.15,53010,89631,-36621,-16.58,,,,MODERATE SPECULATIVE NET SHORT
2011-10-14,2011-10-11,223167,62634,109657,-47022,-21.07,50685,81502,-30817,-13.81,,,,MODERATE SPECULATIVE NET SHORT
2011-10-21,2011-10-18,230483,68815,117573,-48757,-21.15,54759,87551,-32792,-14.23,,,,MODERATE SPECULATIVE NET SHORT
2011-10-28,2011-10-25,235774,66626,118019,-51393,-21.8,51243,91709,-40466,-17.16,,,,MODERATE SPECULATIVE NET SHORT
2011-11-04,2011-11-01,231229,63818,105523,-41704,-18.04,48212,78541,-30329,-13.12,,,,MODERATE SPECULATIVE NET SHORT
2011-11-11,2011-11-08,231445,68527,96155,-27627,-11.94,52683,67623,-14940,-6.46,,,,MODERATE SPECULATIVE NET SHORT
2011-11-18,2011-11-15,244552,75948,115214,-39266,-16.06,59834,86885,-27051,-11.06,,,,MODERATE SPECULATIVE NET SHORT
2011-11-25,2011-11-22,260064,80100,118781,-38680,-14.87,62727,90056,-27329,-10.51,,,,MODERATE SPECULATIVE NET SHORT
2011-12-02,2011-11-29,277511,90187,135921,-45733,-16.48,69316,108084,-38768,-13.97,,,,MODERATE SPECULATIVE NET SHORT
2011-12-09,2011-12-06,283309,94180,134196,-40015,-14.12,66525,104430,-37905,-13.38,,,,MODERATE SPECULATIVE NET SHORT
2011-12-16,2011-12-13,327740,104521,151104,-46582,-14.21,77262,124484,-47222,-14.41,,,,MODERATE SPECULATIVE NET SHORT
2011-12-23,2011-12-20,266597,76578,163773,-87195,-32.71,50187,134988,-84801,-31.81,,,,MODERATE SPECULATIVE NET SHORT
2011-12-30,2011-12-27,276022,84002,172424,-88422,-32.03,57998,144008,-86010,-31.16,,,,MODERATE SPECULATIVE NET SHORT
2012-01-06,2012-01-03,282790,92161,178806,-86644,-30.64,66673,149926,-83253,-29.44,,,,MODERATE SPECULATIVE NET SHORT
2012-01-13,2012-01-10,294263,86433,185782,-99348,-33.76,68102,155989,-87887,-29.87,,,,MODERATE SPECULATIVE NET SHORT
2012-01-20,2012-01-17,300962,86010,185303,-99293,-32.99,67707,157917,-90210,-29.97,,,,MODERATE SPECULATIVE NET SHORT
2012-01-27,2012-01-24,315350,89253,197481,-108227,-34.32,70651,174171,-103520,-32.83,,,,MODERATE SPECULATIVE NET SHORT
2012-02-03,2012-01-31,305328,89451,185851,-96399,-31.57,70584,161936,-91352,-29.92,,,,MODERATE SPECULATIVE NET SHORT
2012-02-10,2012-02-07,288657,79266,171255,-91988,-31.87,59814,145974,-86160,-29.85,,,,MODERATE SPECULATIVE NET SHORT
2012-02-17,2012-02-14,291060,72544,172475,-99931,-34.33,51873,149048,-97175,-33.39,,,,MODERATE SPECULATIVE NET SHORT
2012-02-24,2012-02-21,287525,70692,168525,-97832,-34.03,49974,143547,-93573,-32.54,,,,MODERATE SPECULATIVE NET SHORT
2012-03-02,2012-02-28,271282,72891,148532,-75641,-27.88,51754,120966,-69212,-25.51,,,,MODERATE SPECULATIVE NET SHORT
2012-03-09,2012-03-06,284739,76016,150848,-74831,-26.28,57022,122654,-65632,-23.05,,,,MODERATE SPECULATIVE NET SHORT
2012-03-16,2012-03-13,311057,79253,156312,-77058,-24.77,61643,129820,-68177,-21.92,,,,MODERATE SPECULATIVE NET SHORT
2012-03-23,2012-03-20,258535,65537,151729,-86191,-33.34,48605,123944,-75339,-29.14,,,,MODERATE SPECULATIVE NET SHORT
2012-03-30,2012-03-27,239446,45779,140630,-94850,-39.61,30924,112405,-81481,-34.03,,,,MODERATE SPECULATIVE NET SHORT
2012-04-06,2012-04-03,241006,52337,134106,-81768,-33.93,38274,105605,-67331,-27.94,,,,MODERATE SPECULATIVE NET SHORT
2012-04-13,2012-04-10,274830,61419,158083,-96663,-35.17,47765,129486,-81721,-29.74,,,,MODERATE SPECULATIVE NET SHORT
2012-04-20,2012-04-17,295844,67375,181427,-114052,-38.55,54321,143809,-89488,-30.25,,,,MODERATE SPECULATIVE NET SHORT
2012-04-27,2012-04-24,287215,62722,173674,-110951,-38.63,50397,134506,-84109,-29.28,,,,MODERATE SPECULATIVE NET SHORT
2012-05-04,2012-05-01,279605,62252,165243,-102990,-36.83,49337,129999,-80662,-28.85,,,,MODERATE SPECULATIVE NET SHORT
2012-05-11,2012-05-08,321037,122719,203581,-80861,-25.19,60165,166483,-106318,-33.12,,,,MODERATE SPECULATIVE NET SHORT
2012-05-18,2012-05-15,356674,134857,231940,-97082,-27.22,72382,194983,-122601,-34.37,,,,MODERATE SPECULATIVE NET SHORT
2012-05-25,2012-05-22,376708,131427,248881,-117453,-31.18,68915,216214,-147299,-39.1,,,,MODERATE SPECULATIVE NET SHORT
2012-06-01,2012-05-29,394160,137927,262933,-125005,-31.71,75361,227687,-152326,-38.65,,,,MODERATE SPECULATIVE NET SHORT
2012-06-08,2012-06-05,401812,135724,269981,-134256,-33.41,74691,234828,-160137,-39.85,,,,MODERATE SPECULATIVE NET SHORT
2012-06-15,2012-06-12,422131,136452,251350,-114897,-27.22,77328,217739,-140411,-33.26,,,,MODERATE SPECULATIVE NET SHORT
2012-06-22,2012-06-19,311933,137585,209963,-72377,-23.2,67141,182918,-115777,-37.12,,,,MODERATE SPECULATIVE NET SHORT
2012-06-29,2012-06-26,315785,132329,212815,-80486,-25.49,59653,184323,-124670,-39.48,,,,MODERATE SPECULATIVE NET SHORT
2012-07-06,2012-07-03,302289,131775,192580,-60804,-20.11,61617,162223,-100606,-33.28,,,,MODERATE SPECULATIVE NET SHORT
2012-07-13,2012-07-10,326374,140683,218845,-78162,-23.95,70787,190991,-120204,-36.83,,,,MODERATE SPECULATIVE NET SHORT
2012-07-20,2012-07-17,323228,133710,213580,-79870,-24.71,66581,185076,-118495,-36.66,,,,MODERATE SPECULATIVE NET SHORT
2012-07-27,2012-07-24,324443,142611,211014,-68402,-21.08,72892,181375,-108483,-33.44,,,,MODERATE SPECULATIVE NET SHORT
2012-08-03,2012-07-31,311436,142375,196266,-53890,-17.3,74744,167704,-92960,-29.85,,,,MODERATE SPECULATIVE NET SHORT
2012-08-10,2012-08-07,322243,148300,194892,-46591,-14.46,79789,163508,-83719,-25.98,,,,MODERATE SPECULATIVE NET SHORT
2012-08-17,2012-08-14,321568,144196,197912,-53715,-16.7,75938,166782,-90844,-28.25,,,,MODERATE SPECULATIVE NET SHORT
2012-08-24,2012-08-21,321166,145761,188622,-42860,-13.35,78048,158777,-80729,-25.14,,,,MODERATE SPECULATIVE NET SHORT
2012-08-31,2012-08-28,311925,144396,166265,-21869,-7.01,77494,134983,-57489,-18.43,,,,MODERATE SPECULATIVE NET SHORT
2012-09-07,2012-09-04,314363,145705,167687,-21981,-6.99,77709,134605,-56896,-18.1,,,,MODERATE SPECULATIVE NET SHORT
2012-09-14,2012-09-11,332637,138369,154249,-15879,-4.77,72242,126460,-54218,-16.3,,,,MODERATE SPECULATIVE NET SHORT
2012-09-21,2012-09-18,234394,69697,138274,-68576,-29.26,37233,107860,-70627,-30.13,,,,MODERATE SPECULATIVE NET SHORT
2012-09-28,2012-09-25,218363,76037,122730,-46692,-21.38,44036,97519,-53483,-24.49,,,,MODERATE SPECULATIVE NET SHORT
2012-10-05,2012-10-02,217516,73017,118021,-45003,-20.69,38032,92646,-54614,-25.11,,,,MODERATE SPECULATIVE NET SHORT
2012-10-12,2012-10-09,227541,68288,125539,-57251,-25.16,26231,99825,-73594,-32.34,,,,MODERATE SPECULATIVE NET SHORT
2012-10-19,2012-10-16,219809,67544,108848,-41304,-18.79,26553,83924,-57371,-26.1,,,,MODERATE SPECULATIVE NET SHORT
2012-10-26,2012-10-23,216842,63355,107172,-43816,-20.21,21990,80808,-58818,-27.12,,,,MODERATE SPECULATIVE NET SHORT
2012-11-02,2012-10-30,221524,64289,110135,-45846,-20.7,22100,81918,-59818,-27.0,,,,MODERATE SPECULATIVE NET SHORT
2012-11-09,2012-11-06,227725,71290,122868,-51578,-22.65,27499,90155,-62656,-27.51,,,,MODERATE SPECULATIVE NET SHORT
2012-11-16,2012-11-13,231660,68747,133952,-65204,-28.15,26746,102124,-75378,-32.54,,,,MODERATE SPECULATIVE NET SHORT
2012-11-23,2012-11-20,232328,63164,136044,-72879,-31.37,23229,104356,-81127,-34.92,,,,MODERATE SPECULATIVE NET SHORT
2012-11-30,2012-11-27,210234,54609,113445,-58836,-27.99,18908,80275,-61367,-29.19,,,,MODERATE SPECULATIVE NET SHORT
2012-12-07,2012-12-04,217546,65538,97780,-32241,-14.82,29764,66642,-36878,-16.95,,,,MODERATE SPECULATIVE NET SHORT
2012-12-14,2012-12-11,241932,76252,97182,-20930,-8.65,36377,66223,-29846,-12.34,,,,MODERATE SPECULATIVE NET SHORT
2012-12-21,2012-12-18,193681,81765,93046,-11280,-5.82,55166,59469,-4303,-2.22,,,,MODERATE SPECULATIVE NET SHORT
2012-12-27,2012-12-24,202591,87871,90880,-3009,-1.49,61048,59348,1700,0.84,,,,MODERATE SPECULATIVE NET SHORT
2013-01-03,2012-12-31,207608,94372,90360,4012,1.93,67384,58509,8875,4.27,,,,MODERATE SPECULATIVE NET LONG
2013-01-11,2013-01-08,194251,80329,90734,-10404,-5.36,53695,62122,-8427,-4.34,,,,MODERATE SPECULATIVE NET SHORT
2013-01-18,2013-01-15,211373,91872,91381,491,0.23,65502,61682,3820,1.81,,,,MODERATE SPECULATIVE NET LONG
2013-01-25,2013-01-22,216059,95220,78991,16228,7.51,66444,52192,14252,6.6,,,,MODERATE SPECULATIVE NET LONG
2013-02-01,2013-01-29,237856,105151,84265,20885,8.78,74861,57466,17395,7.31,,,,MODERATE SPECULATIVE NET LONG
2013-02-08,2013-02-05,251236,112345,77018,35327,14.06,82597,49624,32973,13.12,,,,MODERATE SPECULATIVE NET LONG
2013-02-15,2013-02-12,239566,102876,79082,23793,9.93,73116,51671,21445,8.95,,,,MODERATE SPECULATIVE NET LONG
2013-02-22,2013-02-19,234039,96087,78648,17439,7.45,67440,51723,15717,6.72,,,,MODERATE SPECULATIVE NET LONG
2013-03-01,2013-02-26,230567,94653,96089,-1435,-0.62,64662,66802,-2140,-0.93,,,,MODERATE SPECULATIVE NET SHORT
2013-03-08,2013-03-05,218469,79118,102042,-22923,-10.49,47395,73062,-25667,-11.75,,,,MODERATE SPECULATIVE NET SHORT
2013-03-15,2013-03-12,213113,70779,96035,-25255,-11.85,44300,68546,-24246,-11.38,,,,MODERATE SPECULATIVE NET SHORT
2013-03-22,2013-03-19,195073,66489,103557,-37067,-19.0,35843,72519,-36676,-18.8,,,,MODERATE SPECULATIVE NET SHORT
2013-03-29,2013-03-26,204257,60874,105650,-44776,-21.92,28181,71988,-43807,-21.45,,,,MODERATE SPECULATIVE NET SHORT
2013-04-05,2013-04-02,235871,69064,129943,-60878,-25.81,33814,88557,-54743,-23.21,,,,MODERATE SPECULATIVE NET SHORT
2013-04-12,2013-04-09,220353,59810,111561,-51750,-23.49,22934,72895,-49961,-22.67,,,,MODERATE SPECULATIVE NET SHORT
2013-04-19,2013-04-16,215657,74286,105429,-31142,-14.44,37447,63934,-26487,-12.28,,,,MODERATE SPECULATIVE NET SHORT
2013-04-26,2013-04-23,220051,75299,107653,-32353,-14.7,38319,67615,-29296,-13.31,,,,MODERATE SPECULATIVE NET SHORT
2013-05-03,2013-04-30,222618,83215,111625,-28410,-12.76,45834,71777,-25943,-11.65,,,,MODERATE SPECULATIVE NET SHORT
2013-05-10,2013-05-07,214597,86669,105821,-19151,-8.92,44483,70879,-26396,-12.3,,,,MODERATE SPECULATIVE NET SHORT
2013-05-17,2013-05-14,232417,90392,121078,-30685,-13.2,46365,83141,-36776,-15.82,,,,MODERATE SPECULATIVE NET SHORT
2013-05-24,2013-05-21,265194,94161,148594,-54433,-20.53,41601,110377,-68776,-25.93,,,,MODERATE SPECULATIVE NET SHORT
2013-05-31,2013-05-28,264212,89503,146410,-56906,-21.54,37181,106382,-69201,-26.19,,,,MODERATE SPECULATIVE NET SHORT
2013-06-07,2013-06-04,240733,86061,120038,-33976,-14.11,37549,78958,-41409,-17.2,,,,MODERATE SPECULATIVE NET SHORT
2013-06-14,2013-06-11,260418,103750,97911,5839,2.24,59561,61706,-2145,-0.82,,,,MODERATE SPECULATIVE NET LONG
2013-06-21,2013-06-18,213331,99885,92057,7828,3.67,76841,52976,23865,11.19,,,,MODERATE SPECULATIVE NET LONG
2013-06-28,2013-06-25,211651,100887,91629,9258,4.37,76065,51019,25046,11.83,,,,MODERATE SPECULATIVE NET LONG
2013-07-05,2013-07-02,196064,73564,93571,-20006,-10.2,47669,53155,-5486,-2.8,,,,MODERATE SPECULATIVE NET SHORT
2013-07-12,2013-07-09,225051,70354,110734,-40379,-17.94,42649,69965,-27316,-12.14,,,,MODERATE SPECULATIVE NET SHORT
2013-07-19,2013-07-16,220137,73390,108063,-34672,-15.75,42779,68057,-25278,-11.48,-0.27,0.34,45.5,MODERATE SPECULATIVE NET SHORT
2013-07-26,2013-07-23,219429,78693,109921,-31227,-14.23,47633,68296,-20663,-9.42,-0.17,0.23,50.0,MODERATE SPECULATIVE NET SHORT
2013-08-02,2013-07-30,222957,90724,104776,-14051,-6.3,58362,63919,-5557,-2.49,0.32,1.22,64.7,MODERATE SPECULATIVE NET SHORT
2013-08-09,2013-08-06,228726,97032,100018,-2985,-1.31,65290,56721,8569,3.75,0.62,0.76,72.4,MODERATE SPECULATIVE NET SHORT
2013-08-16,2013-08-13,225665,102956,94948,8008,3.55,71187,49934,21253,9.42,0.92,0.74,76.9,MODERATE SPECULATIVE NET LONG
2013-08-23,2013-08-20,249660,125198,99344,25854,10.36,93057,53969,39088,15.66,1.33,1.02,85.9,MODERATE SPECULATIVE NET LONG
2013-08-30,2013-08-27,248672,126963,95159,31804,12.79,93380,50844,42536,17.11,1.46,0.34,87.8,MODERATE SPECULATIVE NET LONG
2013-09-06,2013-09-03,244563,112234,98618,13616,5.57,77806,55233,22573,9.23,1.0,-1.13,79.5,MODERATE SPECULATIVE NET LONG
2013-09-13,2013-09-10,257969,96361,93798,2563,0.99,62609,52899,9710,3.76,0.71,-0.72,72.4,MODERATE SPECULATIVE NET LONG
2013-09-20,2013-09-17,218264,118593,95778,22815,10.45,90521,50140,40381,18.5,1.28,1.41,85.3,MODERATE SPECULATIVE NET LONG
2013-09-27,2013-09-24,254464,149215,88219,60995,23.97,119731,41112,78619,30.9,2.08,2.03,99.4,EXTREME SPECULATIVE NET LONG (Crowded)
2013-10-04,2013-10-01,255067,147369,81918,65450,25.66,115774,35270,80504,31.56,2.16,0.25,99.4,EXTREME SPECULATIVE NET LONG (Crowded)
2013-10-11,2013-10-08,263859,148487,80587,67900,25.73,118974,32919,86055,32.61,2.14,0.0,99.4,EXTREME SPECULATIVE NET LONG (Crowded)
2013-10-18,2013-10-15,257199,141425,80309,61116,23.76,110779,35060,75719,29.44,2.01,-0.31,97.4,EXTREME SPECULATIVE NET LONG (Crowded)
2013-10-25,2013-10-22,278139,149903,79304,70599,25.38,118439,37248,81191,29.19,2.09,0.24,98.1,EXTREME SPECULATIVE NET LONG (Crowded)
2013-11-01,2013-10-29,282923,150425,80532,69892,24.7,117110,38556,78554,27.77,2.03,-0.12,97.4,EXTREME SPECULATIVE NET LONG (Crowded)
2013-11-08,2013-11-05,252554,120690,86867,33823,13.39,88170,44594,43576,17.25,1.36,-1.75,87.2,MODERATE SPECULATIVE NET LONG
2013-11-15,2013-11-12,229166,103877,85554,18323,8.0,74893,45636,29257,12.77,1.04,-0.83,80.8,MODERATE SPECULATIVE NET LONG
2013-11-22,2013-11-19,232326,102429,89077,13351,5.75,73540,46427,27113,11.67,0.9,-0.35,78.2,MODERATE SPECULATIVE NET LONG
2013-11-29,2013-11-26,243049,95950,100915,-4964,-2.04,65636,52053,13583,5.59,0.45,-1.22,66.0,MODERATE SPECULATIVE NET SHORT
2013-12-06,2013-12-03,253653,103652,99559,4093,1.61,73150,49004,24146,9.52,0.65,0.55,70.5,MODERATE SPECULATIVE NET LONG
2013-12-13,2013-12-10,302100,115127,103997,11130,3.68,83721,47165,36556,12.1,0.76,0.3,73.7,MODERATE SPECULATIVE NET LONG
2013-12-20,2013-12-17,230955,118205,103547,14658,6.35,91807,42189,49618,21.48,0.91,0.39,78.8,MODERATE SPECULATIVE NET LONG
2013-12-27,2013-12-24,240206,125382,105123,20258,8.43,95554,41552,54002,22.48,1.01,0.29,80.8,MODERATE SPECULATIVE NET LONG
2014-01-03,2013-12-31,242071,123189,107203,15986,6.6,96557,42201,54356,22.45,0.9,-0.32,78.2,MODERATE SPECULATIVE NET LONG
2014-01-10,2014-01-07,238570,111613,107304,4309,1.81,84159,43290,40869,17.13,0.61,-0.77,67.9,MODERATE SPECULATIVE NET LONG
2014-01-17,2014-01-14,243434,107084,109009,-1924,-0.79,80190,46508,33682,13.84,0.45,-0.43,63.5,MODERATE SPECULATIVE NET SHORT
2014-01-24,2014-01-21,255300,103178,114867,-11688,-4.58,74804,51479,23325,9.14,0.24,-0.62,57.1,MODERATE SPECULATIVE NET SHORT
2014-01-31,2014-01-28,260799,104481,109786,-5305,-2.03,76591,39634,36957,14.17,0.39,0.43,62.2,MODERATE SPECULATIVE NET SHORT
2014-02-07,2014-02-04,274146,84687,124749,-40061,-14.61,56409,46760,9649,3.52,-0.33,-2.05,41.7,MODERATE SPECULATIVE NET SHORT
2014-02-14,2014-02-11,281037,92335,128116,-35780,-12.73,65787,51995,13792,4.91,-0.21,0.33,48.1,MODERATE SPECULATIVE NET SHORT
2014-02-21,2014-02-18,291360,106010,123086,-17075,-5.86,78567,46323,32244,11.07,0.19,1.14,55.8,MODERATE SPECULATIVE NET SHORT
2014-02-28,2014-02-25,296924,111072,121666,-10593,-3.57,82354,44265,38089,12.83,0.33,0.39,62.2,MODERATE SPECULATIVE NET SHORT
2014-03-07,2014-03-04,304308,124841,125344,-502,-0.17,96160,48412,47748,15.69,0.54,0.57,69.2,MODERATE SPECULATIVE NET SHORT
2014-03-14,2014-03-11,322020,133659,117511,16147,5.01,106455,43550,62905,19.53,0.86,0.85,78.8,MODERATE SPECULATIVE NET LONG
2014-03-21,2014-03-18,264443,135688,110228,25460,9.63,103686,33399,70287,26.58,1.14,0.76,85.9,MODERATE SPECULATIVE NET LONG
2014-03-28,2014-03-25,262179,128448,113891,14556,5.55,95313,35310,60003,22.89,0.91,-0.65,79.5,MODERATE SPECULATIVE NET LONG
2014-04-04,2014-04-01,260075,125969,115108,10861,4.18,89129,37164,51965,19.98,0.84,-0.21,76.3,MODERATE SPECULATIVE NET LONG
2014-04-11,2014-04-08,261439,115290,116012,-721,-0.28,78871,41407,37464,14.33,0.58,-0.7,69.2,MODERATE SPECULATIVE NET SHORT
